modo,n_bodies,hilos,repeticion,kernel_s,total_s
seq,500,0,1,0.079386,0.079506
seq,500,0,2,0.138891,0.139077
seq,500,0,3,0.070008,0.070089
seq,500,0,4,0.142164,0.142353
seq,500,0,5,0.128230,0.128384
seq,500,0,6,0.109607,0.109744
seq,500,0,7,0.136775,0.136922
seq,500,0,8,0.079569,0.079670
seq,500,0,9,0.067094,0.067168
seq,500,0,10,0.063702,0.063783
seq,2000,0,1,1.510494,1.511079
seq,2000,0,2,1.379484,1.380096
seq,2000,0,3,1.390845,1.391551
seq,2000,0,4,1.346396,1.347016
seq,2000,0,5,1.662122,1.662913
seq,2000,0,6,1.401554,1.402229
seq,2000,0,7,1.543065,1.543708
seq,2000,0,8,2.094947,2.095667
seq,2000,0,9,1.569914,1.570565
seq,2000,0,10,1.512565,1.513273
seq,5000,0,1,8.386241,8.387800
seq,5000,0,2,7.475927,7.476911
seq,5000,0,3,7.668888,7.670121
seq,5000,0,4,7.734784,7.735954
seq,5000,0,5,8.171166,8.172511
seq,5000,0,6,7.915668,7.916764
seq,5000,0,7,7.358499,7.359702
seq,5000,0,8,8.045860,8.046869
seq,5000,0,9,7.490436,7.491815
seq,5000,0,10,7.436078,7.437172
seq,10000,0,1,29.415287,29.417284
seq,10000,0,2,28.186244,28.188028
seq,10000,0,3,30.268381,30.270451
seq,10000,0,4,29.411696,29.413853
seq,10000,0,5,30.312505,30.314643
seq,10000,0,6,31.913659,31.915946
seq,10000,0,7,29.474722,29.476748
seq,10000,0,8,28.959777,28.961707
seq,10000,0,9,28.167778,28.169845
seq,10000,0,10,29.550854,29.552932
datos,500,1,1,0.069438,0.069526
datos,500,1,2,0.076196,0.076284
datos,500,1,3,0.103834,0.103975
datos,500,1,4,0.127376,0.127542
datos,500,1,5,0.133325,0.133477
datos,500,1,6,0.134434,0.134616
datos,500,1,7,0.156378,0.156581
datos,500,1,8,0.106693,0.106829
datos,500,1,9,0.109218,0.109368
datos,500,1,10,0.138426,0.138602
datos,500,2,1,0.088806,0.089149
datos,500,2,2,0.079422,0.079756
datos,500,2,3,0.087265,0.087549
datos,500,2,4,0.069774,0.070067
datos,500,2,5,0.083229,0.083724
datos,500,2,6,0.053466,0.053718
datos,500,2,7,0.053579,0.053849
datos,500,2,8,0.033819,0.033991
datos,500,2,9,0.047041,0.047263
datos,500,2,10,0.048522,0.048776
datos,500,4,1,0.033696,0.034167
datos,500,4,2,0.027672,0.028170
datos,500,4,3,0.082602,0.083063
datos,500,4,4,0.032291,0.032722
datos,500,4,5,0.033715,0.034254
datos,500,4,6,0.049149,0.049616
datos,500,4,7,0.030135,0.030560
datos,500,4,8,0.224154,0.224552
datos,500,4,9,0.035503,0.035918
datos,500,4,10,0.035925,0.036454
datos,500,8,1,0.363015,0.363887
datos,500,8,2,0.188204,0.188764
datos,500,8,3,0.086429,0.086888
datos,500,8,4,0.165419,0.165897
