modo,n_bodies,hilos,schedule,repeticion,kernel_s,total_s
datos,10000,2,dynamic,1,5.933244,5.933925
datos,10000,2,dynamic,2,6.101769,6.102454
datos,10000,2,dynamic,3,6.211874,6.212565
datos,10000,2,dynamic,4,6.298101,6.298803
datos,10000,2,dynamic,5,6.368060,6.368752
datos,10000,2,dynamic,6,6.415927,6.416623
datos,10000,2,dynamic,7,6.428958,6.429659
datos,10000,2,dynamic,8,6.442954,6.443648
datos,10000,2,dynamic,9,6.450026,6.450742
datos,10000,2,dynamic,10,6.448412,6.449107
datos,10000,2,guided,1,6.435365,6.436061
datos,10000,2,guided,2,6.435004,6.435696
datos,10000,2,guided,3,6.435695,6.436369
datos,10000,2,guided,4,6.444625,6.445357
datos,10000,2,guided,5,6.458998,6.459720
datos,10000,2,guided,6,6.437964,6.438645
datos,10000,2,guided,7,6.435383,6.436078
datos,10000,2,guided,8,6.436974,6.437658
datos,10000,2,guided,9,6.432156,6.432824
datos,10000,2,guided,10,6.432853,6.433530
datos,10000,4,dynamic,1,3.268373,3.269114
datos,10000,4,dynamic,2,3.271526,3.272294
datos,10000,4,dynamic,3,3.270157,3.270896
datos,10000,4,dynamic,4,3.266976,3.267705
datos,10000,4,dynamic,5,3.269789,3.270527
datos,10000,4,dynamic,6,3.265525,3.266275
datos,10000,4,dynamic,7,3.267231,3.267953
datos,10000,4,dynamic,8,3.271343,3.272081
datos,10000,4,dynamic,9,3.267848,3.268602
datos,10000,4,dynamic,10,3.265023,3.265761
datos,10000,4,guided,1,3.258635,3.259341
datos,10000,4,guided,2,3.267141,3.267909
datos,10000,4,guided,3,3.269939,3.270671
datos,10000,4,guided,4,3.258223,3.258933
datos,10000,4,guided,5,3.259618,3.260335
datos,10000,4,guided,6,3.253906,3.254619
datos,10000,4,guided,7,3.259023,3.259746
datos,10000,4,guided,8,3.262228,3.262973
datos,10000,4,guided,9,3.256505,3.257212
datos,10000,4,guided,10,3.264097,3.264830
datos,10000,8,dynamic,1,2.078221,2.079616
datos,10000,8,dynamic,2,2.061710,2.063065
datos,10000,8,dynamic,3,2.072415,2.073753
datos,10000,8,dynamic,4,2.059136,2.060483
datos,10000,8,dynamic,5,2.072479,2.073799
datos,10000,8,dynamic,6,2.064496,2.065855
datos,10000,8,dynamic,7,2.067641,2.068980
datos,10000,8,dynamic,8,2.062479,2.063797
datos,10000,8,dynamic,9,2.054454,2.055780
datos,10000,8,dynamic,10,2.057068,2.058406
datos,10000,8,guided,1,2.053441,2.054874
datos,10000,8,guided,2,2.069170,2.070957
datos,10000,8,guided,3,2.055905,2.057478
datos,10000,8,guided,4,2.046164,2.047510
datos,10000,8,guided,5,2.110757,2.112110
datos,10000,8,guided,6,2.063577,2.065341
datos,10000,8,guided,7,2.083716,2.085366
datos,10000,8,guided,8,2.064092,2.065718
datos,10000,8,guided,9,2.068398,2.070037
datos,10000,8,guided,10,2.054959,2.056282
espacial,10000,2,dynamic,1,7.074867,7.075630
espacial,10000,2,dynamic,2,7.059437,7.060188
espacial,10000,2,dynamic,3,7.051969,7.052674
espacial,10000,2,dynamic,4,7.083712,7.084474
espacial,10000,2,dynamic,5,7.093403,7.094105
espacial,10000,2,dynamic,6,7.070547,7.071279
espacial,10000,2,dynamic,7,7.061449,7.062200
espacial,10000,2,dynamic,8,7.055704,7.056444
espacial,10000,2,dynamic,9,7.087363,7.088047
espacial,10000,2,dynamic,10,7.078662,7.079358
espacial,10000,2,guided,1,7.086977,7.087724
espacial,10000,2,guided,2,7.081747,7.082446
espacial,10000,2,guided,3,7.087100,7.087863
espacial,10000,2,guided,4,7.092276,7.093031
espacial,10000,2,guided,5,7.082309,7.083083
espacial,10000,2,guided,6,7.089584,7.090336
espacial,10000,2,guided,7,7.079056,7.079790
espacial,10000,2,guided,8,7.083308,7.084039
espacial,10000,2,guided,9,7.097840,7.098572
espacial,10000,2,guided,10,7.085031,7.085810
espacial,10000,4,dynamic,1,3.579306,3.580059
espacial,10000,4,dynamic,2,3.566426,3.567183
espacial,10000,4,dynamic,3,3.568594,3.569340
espacial,10000,4,dynamic,4,3.564048,3.564778
espacial,10000,4,dynamic,5,3.572260,3.572996
espacial,10000,4,dynamic,6,3.586441,3.587151
espacial,10000,4,dynamic,7,3.625456,3.626126
espacial,10000,4,dynamic,8,3.638495,3.639197
espacial,10000,4,dynamic,9,3.653868,3.654597
espacial,10000,4,dynamic,10,3.648664,3.649379
espacial,10000,4,guided,1,3.649589,3.650303
espacial,10000,4,guided,2,3.630534,3.631188
espacial,10000,4,guided,3,3.636861,3.637549
espacial,10000,4,guided,4,3.616053,3.616727
espacial,10000,4,guided,5,3.598266,3.598945
espacial,10000,4,guided,6,3.611855,3.612792
espacial,10000,4,guided,7,3.577481,3.578331
espacial,10000,4,guided,8,3.575946,3.576785
espacial,10000,4,guided,9,3.574036,3.575037
espacial,10000,4,guided,10,3.560035,3.561125
espacial,10000,8,dynamic,1,2.517959,2.519238
espacial,10000,8,dynamic,2,2.578245,2.579522
espacial,10000,8,dynamic,3,2.536158,2.537490
espacial,10000,8,dynamic,4,2.480603,2.481937
espacial,10000,8,dynamic,5,2.500943,2.502324
espacial,10000,8,dynamic,6,2.482806,2.484148
espacial,10000,8,dynamic,7,2.497381,2.498727
espacial,10000,8,dynamic,8,2.505477,2.506814
espacial,10000,8,dynamic,9,2.492426,2.493742
espacial,10000,8,dynamic,10,2.484692,2.486027
espacial,10000,8,guided,1,2.539618,2.540981
espacial,10000,8,guided,2,2.503729,2.505081
espacial,10000,8,guided,3,2.538249,2.539617
espacial,10000,8,guided,4,2.548915,2.550271
espacial,10000,8,guided,5,2.554504,2.555829
espacial,10000,8,guided,6,2.580700,2.581976
espacial,10000,8,guided,7,2.531502,2.532831
espacial,10000,8,guided,8,2.547272,2.548638
espacial,10000,8,guided,9,2.566702,2.568066
espacial,10000,8,guided,10,2.546196,2.547549
