modo,hilos,schedule,total_s
datos,2,dynamic,6.3926875
datos,2,guided,6.4362235000000005
datos,2,static,6.4385265
datos,4,dynamic,3.268858
datos,4,guided,3.2600404999999997
datos,4,static,3.2765250000000004
datos,8,dynamic,2.064826
datos,8,guided,2.0655295000000002
datos,8,static,2.3341000000000003
espacial,2,dynamic,7.0734545
espacial,2,guided,7.086767
espacial,2,static,7.1305825
espacial,4,dynamic,3.583605
espacial,4,guided,3.6058684999999997
espacial,4,static,5.099253
espacial,8,dynamic,2.5005255
espacial,8,guided,2.5480935000000002
espacial,8,static,3.5442745
